collab_id,series_name,primary_brand,partner_names,skp_status,skp_count,attempted_urls,failure_reason,next_action,last_checked
Q12026-038,Aimé Leon Dore x New Balance SS26 Activewear Capsule,Aimé Leon Dore,New Balance,series_only_unresolved,0,https://modernnotoriety.com/aime-leon-dore-spring-summer-2026-collection-release-date/ [200] | https://www.finallyoffline.com/article/aime-leon-dore-ss26-drops-with-new-balance [200],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-039,RAEN SS26 Ambassador Collaborations,RAEN,Coco Ho; Mikey February,series_only_unresolved,0,https://shop-eat-surf-outdoor.com/press-releases/raen-introduces-its-spring-summer-2026-collection/616930/ [403],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-041,The Whitaker Group x adidas Capsule,The Whitaker Group,adidas,series_only_unresolved,0,https://sneakernews.com/2026/02/19/the-whitaker-group-adidas-2026/ [403],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-042,Cactus Plant Flea Market x Nike ACG Spring 2026,Cactus Plant Flea Market,Nike ACG,series_only_unresolved,0,https://sneakernews.com/2026/02/26/cactus-plant-flea-market-nike-acg/ [403],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-045,Kith x On Running K-Tech,Kith,On Running,series_only_unresolved,0,https://sneakernews.com/2026/02/27/kith-on-running-k-tech-2026/ [403],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-056,Topshop x Tolu Coker DOORS,Topshop,Tolu Coker,series_only_unresolved,0,https://www.asosplc.com/news-and-media/latest-news/topshop-launches-capsule-collection-with-celebrated-designer-tolu-coker/ [200] | https://www.asosplc.com/news-and-media/latest-news/topshop-announces-capsule-collection-with-designer-tolu-coker-with-preview-revealed-during-tolu-coker-s-defining-london-fashion-week-show/ [200],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-057,Express x bebe Y2K Capsule,Express,bebe,series_only_unresolved,0,https://fashionunited.com/news/fashion/express-teams-up-with-bebe-for-y2k-inspired-collection/2026032471369 [200] | https://www.businesswire.com/news/home/20260324254550/en/Express-x-bebe-Reimagines-Y2K-Style-in-Curated-Capsule-Collection [200] | https://www.express.com/search?q=bebe [200],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-058,TOGA x Umbro First Capsule Collection,TOGA,Umbro,series_only_unresolved,0,https://snkrdunk.com/en/magazine/2026/03/19/toga-x-umbro-first-capsule-collection-19th-march-2026/ [200] | https://snkrdunk.com/en/magazine/2025/07/21/toga-x-umbro-ss26-release-date-price-where-to-buy/ [200],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-059,FURFUR x Peanuts Weekend Slow,FURFUR,Peanuts,series_only_unresolved,0,https://www.haveagood-holiday.com/en/articles/furfur-peanuts-capsule-collection-2026 [200],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-060,Barehands x Lim Shi-An Analogue,Barehands,Lim Shi-An,series_only_unresolved,0,https://www.straitstimes.com/life/style/clothing-label-barehands-launches-retro-print-capsule-collection-with-actress-lim-shi-an [200],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-061,Crew Clothing x Henley Royal Regatta 2026 Regatta Range,Crew Clothing,Henley Royal Regatta,series_only_unresolved,0,https://www.henleyherald.com/2026/03/19/crew-clothing-launches-2026-regatta-range/ [200],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-062,Disney | BLACKPINK Collection by Complex,Complex,BLACKPINK; Disney,series_only_unresolved,0,https://www.ibtimes.com.au/blackpink-launches-punk-inspired-disney-capsule-collection-collaboration-complex-1862746 [200] | https://www.complex.com/search?q=BLACKPINK [200],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-068,Aman Tennis Club x The Webster,Aman Tennis Club,The Webster,series_only_unresolved,0,https://hype.my/centre-court-chic-aman-tennis-club-launches-capsule-collection-with-the-webster [200],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-069,Target x Roller Rabbit Spring Getaway Collection,Target,Roller Rabbit,series_only_unresolved,0,https://www.prnewswire.com/news-releases/target-and-roller-rabbit-debut-an-exclusive-spring-getaway-collection-302697146.html [200] | https://www.target.com/s?searchTerm=Roller%20Rabbit [200],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-071,American Eagle & Aerie x Smiley,American Eagle / Aerie,Smiley,series_only_unresolved,0,https://www.licensingmagazine.com/2026/03/20/ae-aerie-x-smiley-the-feel-good-summer-collection-launches/ [200],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-072,Subtitle x JUJUTSU KAISEN,Subtitle,JUJUTSU KAISEN / TOHO International,series_only_unresolved,0,https://animetv-jp.net/news/subtitle-launches-jujutsu-kaisen-collection/ [200],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-074,Supreme x MM6 Maison Margiela Spring 2026,Supreme,MM6 Maison Margiela; Timberland; Everlast; Schott,series_only_unresolved,0,https://hypebeast.com/2026/3/mm6-maison-margiela-supreme-spring-2026-collaboration-collection-release-info [200] | https://sneakernews.com/2026/03/16/supreme-mm6-maison-margiela-timberland-money-boot/ [403],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-079,Bad Bunny x adidas BadBo 1.0 Rise Apparel Capsule,adidas,Bad Bunny,series_only_unresolved,0,https://sneakernews.com/2026/03/17/adidas-badbo-1-0-rise-js3886-release-date/ [403],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-080,Thug Club x adidas Spring 2026,Thug Club,adidas,series_only_unresolved,0,https://sneakernews.com/2026/03/13/thug-club-adidas-spring-2026/ [403],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-082,Brazil x Jordan Brand Away Kit and Lifestyle Collection,Jordan Brand,Brazilian Football Confederation,series_only_unresolved,0,https://sneakernews.com/2026/03/12/jordan-brand-brazil-world-cup-2026/ [403],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-083,Palace x EVISU 35th Anniversary Capsule,Palace Skateboards,EVISU,series_only_unresolved,0,https://hypebeast.com/2026/3/best-drops-march-week-4-palace-evisu-kith [200] | https://www.palaceskateboards.com/search/suggest.json?q=evisu&resources[type]=product&resources[limit]=20 [200],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-084,Pacsun x LAFC 2026 Season Opener Drop,Pacsun,Los Angeles Football Club (LAFC),series_only_unresolved,0,https://www.prnewswire.com/news-releases/pacsun-and-lafc-celebrate-historic-opening-day-at-the-coliseum-with-first-2026-capsule-collection-302692515.html [200],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-085,Carter's x Once Upon a Farm Limited-Edition Capsule,Carter's,Once Upon a Farm,series_only_unresolved,0,https://ir.carters.com/news-releases/news-release-details/carters-and-once-upon-farm-launch-limited-edition-apparel [200] | https://www.businesswire.com/news/home/20260119053966/en/ [200],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-094,Primark Presents Rita Ora Every Move Counts Activewear Capsule,Primark,Rita Ora,series_only_unresolved,0,https://corporate.primark.com/en-us/a/news/corporate-news/primarks-biggest-activewear-launch-proves-premium-fabrics-fit-and-style-can-be-affordable-and-accessible-to-everyone [200] | https://www.primark.com/en-gb/a/inspiration/fashion-trends/rita-ora-x-primark [200] | https://www.primark.com/en-gb/search?q=rita%20ora [200],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-095,Macy's Bar III x Khoboso Nale Knitwear Capsule,Macy's Bar III,Khoboso Nale,series_only_unresolved,0,https://news.fitnyc.edu/2026/03/16/macys-launches-capsule-collection-of-knitwear-designer-khoboso-nale/ [200],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-098,OUR LEGACY WORK SHOP x Goldwin,OUR LEGACY WORK SHOP,Goldwin,series_only_unresolved,0,https://hypebeast.com/2026/1/our-legacy-work-shop-goldwin-collaboration-release-info [404],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-099,CLOT x adidas Lunar New Year 2026 Collection,CLOT,adidas,series_only_unresolved,0,https://hypebeast.com/2026/1/clot-adidas-lunar-new-year-2026-release-info [404],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-101,UNDERCOVER x Dickies Spring/Summer 2026,UNDERCOVER,Dickies,series_only_unresolved,0,https://hypebeast.com/2026/3/undercover-dickies-spring-summer-2026-collection [404],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-103,Fred Perry x Craig Green Third Collaboration,Fred Perry,Craig Green,series_only_unresolved,0,https://hypebeast.com/2026/3/craig-green-fred-perry-third-collaboration-release-info [404],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-104,MU:DS x BTS Artist-Made Collection,MU:DS,BTS,series_only_unresolved,0,https://hypebeast.com/2026/3/bts-artist-made-collection-release-info [404],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-105,Holiday x Call of Duty Capsule Collection,Holiday,Call of Duty / Activision,series_only_unresolved,0,https://hypebeast.com/2026/3/call-of-duty-holiday-capsule-collection-release-info [404],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-109,New Era x Doraemon Collection,New Era,Doraemon,series_only_unresolved,0,https://hypebeast.com/2026/1/new-era-doraemon-collection-collaboration-release-info [404],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-110,WILDSIDE Yohji Yamamoto x NEEDLES,WILDSIDE Yohji Yamamoto,NEEDLES,series_only_unresolved,0,https://hypebeast.com/2026/1/wildside-yohji-yamamoto-needles-collaboration-release-info [404],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-113,Converse x Hello Kitty and Friends with Swarovski,Converse,Hello Kitty and Friends; Swarovski,series_only_unresolved,0,https://hypebeast.com/2026/1/converse-hello-kitty-and-friends-swarovski-collaboration-release-info [404] | https://www.converse.com/shop/search?q=hello%20kitty%20swarovski [200] | https://www.converse.com/collections/converse-for-hello-kitty-and-friends [200],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
Q12026-115,NikeCraft x Tom Sachs ISRU Uniform,NikeCraft,Tom Sachs,series_only_unresolved,0,https://hypebeast.com/2026/2/tom-sachs-nikecraft-isru-uniform-release-info [404],No public product-level row could be verified from official/source pages or configured storefront product search.,"Search official retail collection/product pages manually; if unavailable, keep as series-level only.",2026-05-31
