source_key,source_name,source_group,source_type,region_focus,coverage_focus,discovery_use,url,query_template,priority,notes
licensing_magazine,Licensing Magazine,industry_media,industry_media,global,"IP, entertainment and brand licensing fashion capsules","B-side IP discovery for anime, entertainment, sports and character collaborations.",https://www.licensingmagazine.com/,site:licensingmagazine.com fashion collaboration capsule 2026,P1,Useful for IP-driven B-side not always covered by fashion press.
hypebeast,Hypebeast,release_media,release_media,global,"streetwear, sneakers, luxury capsules, drop dates",Fast discovery of drop dates; verify with official/retail where possible.,https://hypebeast.com/,"site:hypebeast.com/2026 (""capsule"" OR collaboration) (""release"" OR ""releasing"")",P1,Good candidate generator; not always enough alone for high confidence.
highsnobiety,Highsnobiety,release_media,release_media,global,"streetwear, luxury, sneaker and culture collaborations",Complement Hypebeast for fashion/culture crossovers.,https://www.highsnobiety.com/,"site:highsnobiety.com ""collaboration"" ""2026"" fashion",P2,Use as secondary validation and image/source lead.
sneaker_news,Sneaker News,release_media,release_media,global,sneaker and sportswear collaborations,Best current coverage for sneaker-heavy A-side records.,https://sneakernews.com/,"site:sneakernews.com/2026 (""releases"" OR ""drops"") (""collaboration"" OR capsule)",P1,Existing dataset is overweight here; keep but balance with non-sneaker sources.
snkrdunk,SNKRDUNK Magazine,release_media,release_media,Japan / global,"sneaker, streetwear and Japanese brand drops",Good for Japanese release dates and where-to-buy details.,https://snkrdunk.com/en/magazine/,site:snkrdunk.com/en/magazine/2026 collaboration capsule release,P1,Pair with Japanese-language official pages.
sole_retriever,Sole Retriever,release_media,release_media,global,sneaker and streetwear drop dates,"Useful for BAPE, adidas, Nike, ASICS, New Balance and boutique collabs.",https://www.soleretriever.com/news/,"site:soleretriever.com/news/articles ""2026"" ""collection"" ""release date""",P1,Good for release-date extraction; still seek official source.
fashionsnap,FASHIONSNAP,regional_media,release_media,Japan,"Japanese fashion news, collaborations and retail launches",Japanese A-side coverage not indexed well by English searches.,https://www.fashionsnap.com/,site:fashionsnap.com/article 2026 コラボ 発売 ファッション,P1,Important next-source for Japan completeness.
wwd_japan,WWD Japan,regional_media,industry_media,Japan,Japanese fashion and retail collaborations,Validate Japanese candidates found through PR Times or brand pages.,https://www.wwdjapan.com/,site:wwdjapan.com 2026 コラボ ファッション 発売,P1,May be paywalled; use as lead and citation when accessible.
korea_fashionbiz,Fashionbiz Korea,regional_media,industry_media,Korea,"Korean fashion brands, K-pop/character collaborations","Run Korean terms 협업, 콜라보, 출시 for Q1.",https://fashionbiz.co.kr/,site:fashionbiz.co.kr 2026 협업 콜라보 출시 패션,P2,Use when expanding Korea coverage.
xiaohongshu_brand_official,Xiaohongshu brand official accounts,social_official,official_social,China,"Chinese launches, retail teasers, pop-ups, localized collabs",Search A/B terms and verify against official store or brand account.,https://www.xiaohongshu.com/,"""联名"" ""发售"" ""2026"" ""{brand}""",P2,Use only as lead unless account is verified; archive post URL and screenshot metadata if available.
weibo_brand_official,Weibo brand official accounts,social_official,official_social,China,China market official launch posts,Official-social support for China-exclusive collaborations.,https://weibo.com/,"""联名"" ""发售"" ""2026"" site:weibo.com ""{brand}""",P2,Use with retail/Tmall confirmation for main-table promotion.
