candidate_id,status,a_brand,b_partner,b_type,category,evidence_release_date,source_url,evidence_summary,next_action,notes
CAND-011,review_release_date,Libere,Naruto,anime IP,menswear; streetwear,"2026, no exact Q1 purchase date",https://www.designscene.net/2026/01/libere-x-naruto-capsule.html,Design Scene reports a Paris pop-up showing a newly developed capsule scheduled for release in 2026.,Find official Libere sale date before including.,Do not promote until purchase date is known.
CAND-012,out_of_scope_q2,Elena Velez,Remilia Corporation,digital art collective,apparel; lifestyle brand,Winter 2026,https://www.businesswire.com/news/home/20260211894271/en/Elena-Velez-Partners-with-Remilia-Corporation-to-Launch-Remilia-Atelier-Debuting-the-Universal-Work-Suit,Business Wire says the Universal Work Suit capsule will be available winter 2026.,Keep in future-season queue.,"Announcement is Q1, but release is not Q1."
CAND-013,out_of_scope_q2,Crown Royal merch / Realtree,Rob Rausch; Realtree,personality; outdoor camo brand,bag; apparel merch,2026-04-02,https://www.prnewswire.com/news-releases/crown-royal-teams-up-with-rob-rausch-to-launch-first-ever-camo-bag--capsule-collection-in-partnership-with-realtree-302731800.html,"PRNewswire announcement is April 2, outside Q1.",Move to Q2 dataset if scope expands.,Boundary also depends on whether beverage merch counts as apparel A-side.
CAND-014,review_a_side_rule,Zara Studio,Karl Templer,creative director / stylist,apparel,2026-03-20,https://fashionunited.com/press/fashion/zara-spring-summer-2026-studio-collection/2026032071297,FashionUnited press item describes Zara Studio SS26 collections conceived by Zara with creative director and stylist Karl Templer.,Decide whether creative-direction credit equals collaboration under A x B rules.,Probably exclude unless marketed as an external collaboration.
CAND-R2-001,promoted_to_main_round_2,Zales,Sweethearts / Spangler Candy,confectionery IP / brand,jewelry; accessories,2026-02-03,https://www.businesswire.com/news/home/20260203969786/en/,Promoted to main table during the broad A/B machine run; source supports A/B pairing and Q1 release/availability date 2026-02-03.,Optional: add retail/product page if available.,"Main-table id Q12026-090; Limited-edition 10K gold charm capsule officially launching February 3, 2026."
CAND-R2-002,promoted_to_main_round_2,Weekend Max Mara,Sebago,footwear brand,footwear,2026-03-23,https://fashionunited.fr/actualite/mode/weekend-max-mara-et-sebago-lultime-escale-de-leur-collaboration-pour-lete-2026/2026032341121,Promoted to main table during the broad A/B machine run; source supports A/B pairing and Q1 release/availability date 2026-03-23.,Optional: add retail/product page if available.,Main-table id Q12026-091; Third and final A Weekend with Sebago chapter; source states it is already available in boutiques and e-shop.
CAND-R2-003,promoted_to_main_round_2,Fred Perry,Kris Van Assche,designer,apparel; tailoring,2026-02-19,https://fashionunited.uk/tags/fred-perry,Promoted to main table during the broad A/B machine run; source supports A/B pairing and Q1 release/availability date 2026-02-19.,Optional: add retail/product page if available.,"Main-table id Q12026-092; FashionUnited archive states the 13-piece capsule launches globally on February 19, 2026."
CAND-R2-004,promoted_to_main_round_2,Albaray,Anna Unwin,interior stylist,womenswear; apparel,2026-03-12,https://milled.com/albaray.co.uk/albaray-x-anna-unwin-SPgTT6vtpMk9kta-,Promoted to main table during the broad A/B machine run; source supports A/B pairing and Q1 release/availability date 2026-03-12.,Optional: add retail/product page if available.,Main-table id Q12026-093; Brand email says the limited-edition collection is here on March 12; trade source confirms 11-piece collaboration.
CAND-R2-005,promoted_to_main_round_2,Primark,Rita Ora,artist / brand ambassador,activewear; athleisure; accessories,2026-01-05,https://corporate.primark.com/en-us/a/news/corporate-news/primarks-biggest-activewear-launch-proves-premium-fabrics-fit-and-style-can-be-affordable-and-accessible-to-everyone,Promoted to main table during the broad A/B machine run; source supports A/B pairing and Q1 release/availability date 2026-01-05.,Optional: add retail/product page if available.,Main-table id Q12026-094; Official Primark release says the range launches worldwide in stores from January 5 and includes Rita Ora's activewear capsule.
CAND-R2-006,promoted_to_main_round_2,Macy's Bar III,Khoboso Nale,designer,knitwear; womenswear; apparel,2026-03-11,https://news.fitnyc.edu/2026/03/16/macys-launches-capsule-collection-of-knitwear-designer-khoboso-nale/,Promoted to main table during the broad A/B machine run; source supports A/B pairing and Q1 release/availability date 2026-03-11.,Optional: add retail/product page if available.,Main-table id Q12026-095; FIT Newsroom reports the Bar III capsule nearly sold out during its March 11 launch and is available in store and online.
CAND-R2-007,promoted_to_main_round_2,Champion,UNDERCOVER,designer brand,apparel; sportswear,2026-02-14,https://hypebeast.com/2026/2/champion-x-undercover-spring-summer-2026-collaboration,Promoted to main table during the broad A/B machine run; source supports A/B pairing and Q1 release/availability date 2026-02-14.,Find official brand or retail page to upgrade confidence.,Main-table id Q12026-096; Hypebeast reports the drop releases February 14; add official retail page in next pass.
CAND-R2-008,promoted_to_main_round_2,A Bathing Ape (BAPE),New Era,headwear brand,headwear; apparel; accessories,2026-02-07,https://hypebeast.com/2026/2/bape-new-era-ss26-collaboration,Promoted to main table during the broad A/B machine run; source supports A/B pairing and Q1 release/availability date 2026-02-07.,Find official brand or retail page to upgrade confidence.,Main-table id Q12026-097; Release-media record for SS26 BAPE x New Era capsule; official source still needed.
CAND-R2-009,promoted_to_main_round_2,OUR LEGACY WORK SHOP,Goldwin,outdoor apparel brand,outerwear; apparel; accessories,2026-01-09,https://hypebeast.com/2026/1/our-legacy-work-shop-goldwin-collaboration-release-info,Promoted to main table during the broad A/B machine run; source supports A/B pairing and Q1 release/availability date 2026-01-09.,Find official brand or retail page to upgrade confidence.,Main-table id Q12026-098; Hypebeast reports the collaboration releases January 9; next pass should recover brand-owned launch page.
CAND-R2-010,promoted_to_main_round_2,CLOT,adidas,sportswear brand,footwear; apparel,2026-01-31,https://hypebeast.com/2026/1/clot-adidas-lunar-new-year-2026-release-info,Promoted to main table during the broad A/B machine run; source supports A/B pairing and Q1 release/availability date 2026-01-31.,Find official brand or retail page to upgrade confidence.,Main-table id Q12026-099; Lunar New Year capsule with footwear and apparel; Hypebeast states January 31 release.
CAND-R2-011,promoted_to_main_round_2,A Bathing Ape (BAPE),Kazuki Kuraishi,designer,apparel; outerwear; accessories,2026-03-08,https://hypebeast.com/2026/3/best-drops-march-week-1-kazuki-kuraishi-bape,Promoted to main table during the broad A/B machine run; source supports A/B pairing and Q1 release/availability date 2026-03-08.,Find official brand or retail page to upgrade confidence.,Main-table id Q12026-100; Release date taken from Hypebeast weekly drop listing for the Performance All Weather collection.
CAND-R2-012,promoted_to_main_round_2,UNDERCOVER,Dickies,workwear brand,apparel; workwear,2026-03-05,https://hypebeast.com/2026/3/undercover-dickies-spring-summer-2026-collection,Promoted to main table during the broad A/B machine run; source supports A/B pairing and Q1 release/availability date 2026-03-05.,Find official brand or retail page to upgrade confidence.,Main-table id Q12026-101; Observed availability from Hypebeast publication; official release date should be confirmed.
CAND-R2-013,promoted_to_main_round_2,Palace Skateboards,San Francisco Giants,sports team,apparel; headwear; accessories,2026-02-13,https://hypebeast.com/2026/2/best-drops-february-week-2-palace-san-francisco-giants,Promoted to main table during the broad A/B machine run; source supports A/B pairing and Q1 release/availability date 2026-02-13.,Find official brand or retail page to upgrade confidence.,Main-table id Q12026-102; Weekly drop listing includes Palace's San Francisco Giants collaboration for February week 2.
CAND-R2-014,promoted_to_main_round_2,Fred Perry,Craig Green,designer,apparel; menswear,2026-03-19,https://hypebeast.com/2026/3/craig-green-fred-perry-third-collaboration-release-info,Promoted to main table during the broad A/B machine run; source supports A/B pairing and Q1 release/availability date 2026-03-19.,Find official brand or retail page to upgrade confidence.,Main-table id Q12026-103; Hypebeast states the third collaboration drops globally on March 19.
CAND-R2-015,promoted_to_main_round_2,MU:DS,BTS,music artist / group,apparel; caps; accessories,2026-03-20,https://hypebeast.com/2026/3/bts-artist-made-collection-release-info,Promoted to main table during the broad A/B machine run; source supports A/B pairing and Q1 release/availability date 2026-03-20.,Find official brand or retail page to upgrade confidence.,"Main-table id Q12026-104; Collection includes T-shirts, caps and keyrings; A-side treated as official merchandise/apparel brand."
CAND-R2-016,promoted_to_main_round_2,Holiday,Call of Duty / Activision,game IP,apparel; streetwear,2026-03-20,https://hypebeast.com/2026/3/call-of-duty-holiday-capsule-collection-release-info,Promoted to main table during the broad A/B machine run; source supports A/B pairing and Q1 release/availability date 2026-03-20.,Find official brand or retail page to upgrade confidence.,Main-table id Q12026-105; Hypebeast lists New York release followed by online drop on March 20.
CAND-R2-017,promoted_to_main_round_2,NEIGHBORHOOD,Team Ikuzawa,motorsport heritage brand,apparel; accessories,2026-02-21,https://hypebeast.com/2026/2/neighborhood-team-ikuzawa-spring-summer-2026-collaboration-release-info,Promoted to main table during the broad A/B machine run; source supports A/B pairing and Q1 release/availability date 2026-02-21.,Find official brand or retail page to upgrade confidence.,Main-table id Q12026-106; Hypebeast reports a February 21 release for the third collaboration.
CAND-R2-018,promoted_to_main_round_2,Anti Social Social Club,G-SHOCK,watch / accessories brand,accessories; apparel,2026-02-21,https://hypebeast.com/2026/2/best-drops-february-week-3-anti-social-social-club-g-shock,Promoted to main table during the broad A/B machine run; source supports A/B pairing and Q1 release/availability date 2026-02-21.,Find official brand or retail page to upgrade confidence.,Main-table id Q12026-107; Release-media availability record; treated as accessories collaboration because G-SHOCK is the B-side.
CAND-R2-019,promoted_to_main_round_2,Dickies,thisisneverthat,streetwear brand,workwear; apparel,2026-01-17,https://hypebeast.com/2026/1/dickies-thisisneverthat-spring-summer-2026-collaboration,Promoted to main table during the broad A/B machine run; source supports A/B pairing and Q1 release/availability date 2026-01-17.,Find official brand or retail page to upgrade confidence.,Main-table id Q12026-108; Hypebeast reports January 17 release of the ongoing workwear collaboration.
CAND-R2-020,promoted_to_main_round_2,New Era,Doraemon,anime / character IP,headwear; apparel; accessories,2026-01-15,https://hypebeast.com/2026/1/new-era-doraemon-collection-collaboration-release-info,Promoted to main table during the broad A/B machine run; source supports A/B pairing and Q1 release/availability date 2026-01-15.,Find official brand or retail page to upgrade confidence.,Main-table id Q12026-109; More than 30 styles across caps and apparel; Hypebeast reports availability from January 15.
CAND-R2-021,promoted_to_main_round_2,WILDSIDE Yohji Yamamoto,NEEDLES,fashion brand,apparel; tracksuits,2026-01-15,https://hypebeast.com/2026/1/wildside-yohji-yamamoto-needles-collaboration-release-info,Promoted to main table during the broad A/B machine run; source supports A/B pairing and Q1 release/availability date 2026-01-15.,Find official brand or retail page to upgrade confidence.,Main-table id Q12026-110; Four-piece monochrome tracksuit capsule; Hypebeast reports January 15 release.
CAND-R2-022,promoted_to_main_round_2,Barbour,Feng Chen Wang,designer,outerwear; apparel,2026-01-10,https://hypebeast.com/2026/1/barbour-feng-chen-wang-year-of-the-horse-capsule-release-info,Promoted to main table during the broad A/B machine run; source supports A/B pairing and Q1 release/availability date 2026-01-10.,Find official brand or retail page to upgrade confidence.,Main-table id Q12026-111; Hypebeast reports the capsule is available via Barbour's webstore; exact first-sale day uses publication date.
CAND-R2-023,promoted_to_main_round_2,Paper Planes,Roc Nation; National Football League (NFL),music company; sports league,apparel; headwear; accessories,2026-02-05,https://hypebeast.com/2026/2/roc-nation-paper-planes-nfl-super-bowl-lx-capsule-collection-release-info,Promoted to main table during the broad A/B machine run; source supports A/B pairing and Q1 release/availability date 2026-02-05.,Find official brand or retail page to upgrade confidence.,Main-table id Q12026-112; Super Bowl capsule from Roc Nation's Paper Planes brand and the NFL; verify exact retail channels next pass.
CAND-R2-024,promoted_to_main_round_2,Converse,Hello Kitty and Friends; Swarovski,character IP; crystal brand,footwear; accessories,2026-01-20,https://hypebeast.com/2026/1/converse-hello-kitty-and-friends-swarovski-collaboration-release-info,Promoted to main table during the broad A/B machine run; source supports A/B pairing and Q1 release/availability date 2026-01-20.,Find official brand or retail page to upgrade confidence.,Main-table id Q12026-113; Hypebeast reports the crystal-covered Converse collaboration launches January 20.
CAND-R2-025,promoted_to_main_round_2,Alice + Olivia,PQ Swim,swimwear brand,swimwear; coverups; apparel,2026-03-03,https://fashionweekdaily.com/alice-olivia-pq-swim-spring-break-collaboration/,Promoted to main table during the broad A/B machine run; source supports A/B pairing and Q1 release/availability date 2026-03-03.,Find official brand or retail page to upgrade confidence.,Main-table id Q12026-114; Fashion-media source reports the spring break capsule launch; official product URL should be added if available.
CAND-R2-026,promoted_to_main_round_2,NikeCraft,Tom Sachs,artist,apparel; footwear; accessories,2026-02-20,https://hypebeast.com/2026/2/tom-sachs-nikecraft-isru-uniform-release-info,Promoted to main table during the broad A/B machine run; source supports A/B pairing and Q1 release/availability date 2026-02-20.,Find official brand or retail page to upgrade confidence.,Main-table id Q12026-115; Release-media source for apparel/footwear uniform; exact Nike product page should be recovered for high confidence.
